Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00074	Pancreatic ribonuclease	pfam	domain	IPR023412		
PF00075	RNase H	pfam	domain	IPR002156		
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	pfam	domain	IPR000504		
PF00077	Retroviral aspartyl protease	pfam	domain	IPR018061		
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	pfam	domain	IPR000477		
PF00079	Serpin (serine protease inhibitor)	pfam	domain	IPR023796		
PF00080	Copper/zinc superoxide dismutase (SODC)	pfam	domain	IPR001424		
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	pfam	domain	IPR019831		
PF00082	Subtilase family	pfam	domain	IPR000209		
PF00083	Sugar (and other) transporter	pfam	family	IPR005828		
PF00084	Sushi repeat (SCR repeat)	pfam	domain	IPR000436		
PF00085	Thioredoxin	pfam	domain	IPR013766		
PF00086	Thyroglobulin type-1 repeat	pfam	domain	IPR000716		
PF00087	Snake toxin and toxin-like protein	pfam	domain	IPR035076		
PF00088	Trefoil (P-type) domain	pfam	domain	IPR000519		
PF00089	Trypsin	pfam	domain	IPR001254		
PF00090	Thrombospondin type 1 domain	pfam	domain	IPR000884		
PF00091	Tubulin/FtsZ family, GTPase domain	pfam	domain	IPR003008		
PF00092	von Willebrand factor type A domain	pfam	domain	IPR002035		
PF00093	von Willebrand factor type C domain	pfam	domain	IPR001007		
PF00094	von Willebrand factor type D domain	pfam	domain	IPR001846		
PF00095	WAP-type (Whey Acidic Protein) 'four-disulfide core'	pfam	domain	IPR008197		
PF00096	Zinc finger, C2H2 type	pfam	domain	IPR013087		
PF00097	Zinc finger, C3HC4 type (RING finger)	pfam	domain	IPR018957		
PF00098	Zinc knuckle	pfam	domain	IPR001878		
PF00100	Zona pellucida-like domain	pfam	family	IPR001507		
PF00101	Ribulose bisphosphate carboxylase, small chain	pfam	domain	IPR000894		
PF00102	Protein-tyrosine phosphatase	pfam	domain	IPR000242		
PF00103	Somatotropin hormone family	pfam	domain	IPR001400		
PF00104	Ligand-binding domain of nuclear hormone receptor	pfam	domain	IPR000536		
PF00105	Zinc finger, C4 type (two domains)	pfam	domain	IPR001628		
PF00106	short chain dehydrogenase	pfam	domain	IPR002347		
PF00107	Zinc-binding dehydrogenase	pfam	domain	IPR013149		
PF00108	Thiolase, N-terminal domain	pfam	domain	IPR020616		
PF00109	Beta-ketoacyl synthase, N-terminal domain	pfam	domain	IPR014030		
PF00110	wnt family	pfam	family	IPR005817		
PF00111	2Fe-2S iron-sulfur cluster binding domain	pfam	domain	IPR001041		
PF00112	Papain family cysteine protease	pfam	domain	IPR000668		
PF00113	Enolase, C-terminal TIM barrel domain	pfam	domain	IPR020810		
PF00114	Pilin (bacterial filament)	pfam	domain	IPR001082		
PF00115	Cytochrome C and Quinol oxidase polypeptide I	pfam	family	IPR000883		
PF00116	Cytochrome C oxidase subunit II, periplasmic domain	pfam	domain	IPR002429		
PF00117	Glutamine amidotransferase class-I	pfam	domain	IPR017926		
PF00118	TCP-1/cpn60 chaperonin family	pfam	family	IPR002423		
PF00119	ATP synthase A chain	pfam	domain	IPR000568		
PF00120	Glutamine synthetase, catalytic domain	pfam	domain	IPR008146		
PF00121	Triosephosphate isomerase	pfam	domain	IPR000652		
PF00122	E1-E2 ATPase	pfam	family			
PF00123	Peptide hormone	pfam	family	IPR000532		
PF00124	Photosynthetic reaction centre protein	pfam	family	IPR000484		
PF00125	Core histone H2A/H2B/H3/H4	pfam	domain	IPR007125		
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	pfam	domain	IPR000847		
PF00127	Copper binding proteins, plastocyanin/azurin family	pfam	domain	IPR000923		
PF00128	Alpha amylase, catalytic domain	pfam	domain	IPR006047		
PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2	pfam	domain	IPR011161		
PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	pfam	domain	IPR002219		
PF00131	Metallothionein	pfam	domain	IPR003019		
PF00132	Bacterial transferase hexapeptide (six repeats)	pfam	repeat	IPR001451		
PF00133	tRNA synthetases class I (I, L, M and V)	pfam	family	IPR002300		
PF00134	Cyclin, N-terminal domain	pfam	domain	IPR006671		
PF00135	Carboxylesterase family	pfam	domain	IPR002018		
PF00136	DNA polymerase family B	pfam	family	IPR006134		
PF00137	ATP synthase subunit C	pfam	family	IPR002379		
PF00139	Legume lectin domain	pfam	domain	IPR001220		
PF00140	Sigma-70 factor, region 1.2	pfam	family	IPR009042		
PF00141	Peroxidase	pfam	domain	IPR002016		
PF00142	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	pfam	domain	IPR000392		
PF00143	Interferon alpha/beta domain	pfam	domain	IPR000471		
PF00144	Beta-lactamase	pfam	domain	IPR001466		
PF00145	C-5 cytosine-specific DNA methylase	pfam	domain	IPR001525		
PF00146	NADH dehydrogenase	pfam	family	IPR001694		
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	pfam	domain	IPR002181		
PF00148	Nitrogenase component 1 type Oxidoreductase	pfam	domain	IPR000510		
PF00149	Calcineurin-like phosphoesterase	pfam	domain	IPR004843		
PF00150	Cellulase (glycosyl hydrolase family 5)	pfam	domain	IPR001547		
PF00151	Lipase	pfam	domain	IPR013818		
PF00152	tRNA synthetases class II (D, K and N)	pfam	domain	IPR004364		
PF00153	Mitochondrial carrier protein	pfam	repeat	IPR018108		
PF00154	recA bacterial DNA recombination protein	pfam	family	IPR013765		
PF00155	Aminotransferase class I and II	pfam	domain	IPR004839		
PF00156	Phosphoribosyl transferase domain	pfam	domain	IPR000836		
PF00157	Pou domain - N-terminal to homeobox domain	pfam	domain	IPR000327		
PF00158	Sigma-54 interaction domain	pfam	domain	IPR002078		
PF00159	Pancreatic hormone peptide	pfam	family	IPR001955		
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	pfam	domain	IPR002130		
PF00161	Ribosome inactivating protein	pfam	domain	IPR001574		
PF00162	Phosphoglycerate kinase	pfam	domain	IPR001576		
PF00163	Ribosomal protein S4/S9 N-terminal domain	pfam	family	IPR001912		
PF00164	Ribosomal protein S12/S23	pfam	family	IPR006032		
PF00165	Bacterial regulatory helix-turn-helix proteins, AraC family	pfam	domain	IPR018060		
PF00166	Chaperonin 10 Kd subunit	pfam	domain	IPR020818		
PF00167	Fibroblast growth factor	pfam	domain	IPR002209		
PF00168	C2 domain	pfam	domain	IPR000008		
PF00169	PH domain	pfam	domain	IPR001849		
PF00170	bZIP transcription factor	pfam	unknown	IPR004827		
PF00171	Aldehyde dehydrogenase family	pfam	family	IPR015590		
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	pfam	domain	IPR001138		
PF00173	Cytochrome b5-like Heme/Steroid binding domain	pfam	domain	IPR001199		
PF00174	Oxidoreductase molybdopterin binding domain	pfam	domain	IPR000572		
PF00175	Oxidoreductase NAD-binding domain	pfam	domain	IPR001433		
PF00176	SNF2-related domain	pfam	domain	IPR000330		
PF00177	Ribosomal protein S7p/S5e	pfam	domain	IPR023798		
PF00178	Ets-domain	pfam	domain	IPR000418		
PF00179	Ubiquitin-conjugating enzyme	pfam	domain	IPR000608		
PF00180	Isocitrate/isopropylmalate dehydrogenase	pfam	domain	IPR024084		
PF00181	Ribosomal Proteins L2, RNA binding domain	pfam	domain	IPR022666		
PF00182	Chitinase class I	pfam	domain	IPR000726		
PF00183	Hsp90 protein	pfam	family	IPR001404		
PF00184	Neurohypophysial hormones, C-terminal Domain	pfam	family	IPR000981		
PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	pfam	domain	IPR006131		
PF00186	Dihydrofolate reductase	pfam	domain	IPR001796		
PF00187	Chitin recognition protein	pfam	domain	IPR001002		
PF00188	Cysteine-rich secretory protein family	pfam	domain	IPR014044		
PF00189	Ribosomal protein S3, C-terminal domain	pfam	domain	IPR001351		
PF00190	Cupin	pfam	domain	IPR006045		
PF00191	Annexin	pfam	domain	IPR018502		
PF00193	Extracellular link domain	pfam	domain	IPR000538		
PF00194	Eukaryotic-type carbonic anhydrase	pfam	domain	IPR001148		
PF00195	Chalcone and stilbene synthases, N-terminal domain	pfam	domain	IPR001099		
PF00196	Bacterial regulatory proteins, luxR family	pfam	domain	IPR000792		
PF00197	Trypsin and protease inhibitor	pfam	domain	IPR002160		
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	pfam	domain	IPR001078		
PF00199	Catalase	pfam	domain	IPR011614		
PF00200	Disintegrin	pfam	domain	IPR001762		
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	pfam	family	IPR002213		
PF00202	Aminotransferase class-III	pfam	domain	IPR005814		
PF00203	Ribosomal protein S19	pfam	domain	IPR002222		
PF00204	DNA gyrase B	pfam	domain	IPR013506		
PF00205	Thiamine pyrophosphate enzyme, central domain	pfam	domain	IPR012000		
PF00206	Lyase	pfam	domain	IPR022761		
PF00207	Alpha-2-macroglobulin family	pfam	family	IPR001599		
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	pfam	domain	IPR006096		
PF00209	Sodium:neurotransmitter symporter family	pfam	family	IPR000175		
PF00210	Ferritin-like domain	pfam	domain	IPR008331		
PF00211	Adenylate and Guanylate cyclase catalytic domain	pfam	domain	IPR001054		
PF00212	Atrial natriuretic peptide	pfam	family	IPR000663		
PF00213	ATP synthase delta (OSCP) subunit	pfam	family	IPR000711		
PF00214	Calcitonin / CGRP / IAPP family	pfam	family	IPR021116		
PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	pfam	domain	IPR001754		
PF00216	Bacterial DNA-binding protein	pfam	domain	IPR000119		
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	pfam	domain	IPR022414		
PF00218	Indole-3-glycerol phosphate synthase	pfam	domain	IPR013798		
PF00219	Insulin-like growth factor binding protein	pfam	domain	IPR000867		
PF00220	Neurohypophysial hormones, N-terminal Domain	pfam	family	IPR022423		
PF00221	Aromatic amino acid lyase	pfam	family	IPR001106		
PF00223	Photosystem I psaA/psaB protein	pfam	family	IPR001280		
PF00224	Pyruvate kinase, barrel domain	pfam	domain	IPR015793		
PF00225	Kinesin motor domain	pfam	domain	IPR001752		
PF00226	DnaJ domain	pfam	domain	IPR001623		
PF00227	Proteasome subunit	pfam	domain	IPR001353		
PF00228	Bowman-Birk serine protease inhibitor family	pfam	domain	IPR000877		
PF00229	TNF(Tumour Necrosis Factor) family	pfam	domain	IPR006052		
PF00230	Major intrinsic protein	pfam	family	IPR000425		
PF00231	ATP synthase	pfam	domain	IPR000131		
PF00232	Glycosyl hydrolase family 1	pfam	domain	IPR001360		
PF00233	3'5'-cyclic nucleotide phosphodiesterase	pfam	domain	IPR002073		
PF00234	Protease inhibitor/seed storage/LTP family	pfam	domain	IPR016140		
PF00235	Profilin	pfam	domain	IPR005455		
PF00236	Glycoprotein hormone	pfam	domain	IPR000476		
PF00237	Ribosomal protein L22p/L17e	pfam	domain	IPR001063		
PF00238	Ribosomal protein L14p/L23e	pfam	domain	IPR000218		
PF00239	Resolvase, N terminal domain	pfam	domain	IPR006119		
PF00240	Ubiquitin family	pfam	domain	IPR000626		
PF00241	Cofilin/tropomyosin-type actin-binding protein	pfam	domain	IPR002108		
PF00242	DNA polymerase (viral) N-terminal domain	pfam	family	IPR000201		
PF00243	Nerve growth factor family	pfam	domain	IPR002072		
PF00244	14-3-3 protein	pfam	repeat	IPR023410		
PF00245	Alkaline phosphatase	pfam	domain	IPR001952		
PF00246	Zinc carboxypeptidase	pfam	domain	IPR000834		
PF00248	Aldo/keto reductase family	pfam	domain	IPR023210		
PF00249	Myb-like DNA-binding domain	pfam	domain	IPR001005		
PF00250	Forkhead domain	pfam	domain	IPR001766		
PF00251	Glycosyl hydrolases family 32 N-terminal domain	pfam	domain	IPR013148		
PF00252	Ribosomal protein L16p/L10e	pfam	domain	IPR016180		
PF00253	Ribosomal protein S14p/S29e	pfam	family	IPR001209		
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	pfam	domain	IPR001179		
PF00255	Glutathione peroxidase	pfam	family	IPR000889		
PF00257	Dehydrin	pfam	family	IPR000167		
PF00258	Flavodoxin	pfam	domain	IPR008254		
PF00260	Protamine P1	pfam	family	IPR000221		
PF00261	Tropomyosin	pfam	unknown	IPR000533		
PF00262	Calreticulin family	pfam	family	IPR001580		
PF00263	Bacterial type II and III secretion system protein	pfam	family	IPR004846		
PF00264	Common central domain of tyrosinase	pfam	domain	IPR002227		
PF00265	Thymidine kinase	pfam	family	IPR001267		
PF00266	Aminotransferase class-V	pfam	domain	IPR000192		
PF00267	Gram-negative porin	pfam	domain	IPR001702		
PF00268	Ribonucleotide reductase, small chain	pfam	domain	IPR000358		
PF00269	Small, acid-soluble spore proteins, alpha/beta type	pfam	family	IPR001448		
PF00270	DEAD/DEAH box helicase	pfam	domain	IPR011545		
PF00271	Helicase conserved C-terminal domain	pfam	domain	IPR001650		
PF00272	Cecropin family	pfam	family	IPR000875		
PF00273	Serum albumin family	pfam	domain	IPR014760		
PF00274	Fructose-bisphosphate aldolase class-I	pfam	domain	IPR000741		
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	pfam	family	IPR001986		
PF00276	Ribosomal protein L23	pfam	family	IPR013025		
PF00277	Serum amyloid A protein	pfam	family	IPR000096		
PF00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	pfam	domain	IPR022643		
PF00280	Potato inhibitor I family	pfam	domain	IPR000864		
PF00281	Ribosomal protein L5	pfam	domain	IPR031310		
PF00282	Pyridoxal-dependent decarboxylase conserved domain	pfam	domain	IPR002129		
PF00283	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	pfam	family	IPR013081		
PF00284	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit	pfam	family	IPR013082		
PF00285	Citrate synthase, C-terminal domain	pfam	domain	IPR002020		
PF00286	Viral coat protein	pfam	domain	IPR000052		
PF00287	Sodium / potassium ATPase beta chain	pfam	family	IPR000402		
PF00288	GHMP kinases N terminal domain	pfam	family	IPR006204		
PF00289	Biotin carboxylase, N-terminal domain	pfam	domain	IPR005481		
PF00290	Tryptophan synthase alpha chain	pfam	domain	IPR002028		
PF00291	Pyridoxal-phosphate dependent enzyme	pfam	family	IPR001926		
PF00292	'Paired box' domain	pfam	domain	IPR001523		
PF00293	NUDIX domain	pfam	domain	IPR000086		
PF00294	pfkB family carbohydrate kinase	pfam	domain	IPR011611		
PF00295	Glycosyl hydrolases family 28	pfam	repeat	IPR000743		
PF00296	Luciferase-like monooxygenase	pfam	domain	IPR011251		
PF00297	Ribosomal protein L3	pfam	family	IPR000597		
PF00298	Ribosomal protein L11, RNA binding domain	pfam	domain	IPR020783		
PF00299	Squash family serine protease inhibitor	pfam	domain	IPR000737		
PF00300	Histidine phosphatase superfamily (branch 1)	pfam	domain	IPR013078		
PF00301	Rubredoxin	pfam	domain	IPR024935		
PF00302	Chloramphenicol acetyltransferase	pfam	domain	IPR001707		
PF00303	Thymidylate synthase	pfam	domain	IPR023451		
PF00304	Gamma-thionin family	pfam	domain			
PF00305	Lipoxygenase	pfam	domain	IPR013819		
PF00306	ATP synthase alpha/beta chain, C terminal domain	pfam	domain	IPR000793		
PF00307	Calponin homology (CH) domain	pfam	domain	IPR001715		
PF00308	Bacterial dnaA protein	pfam	domain	IPR013317		
PF00309	Sigma-54 factor, Activator interacting domain (AID)	pfam	family	IPR000394		
PF00310	Glutamine amidotransferases class-II	pfam	domain	IPR017932		
PF00311	Phosphoenolpyruvate carboxylase	pfam	family	IPR021135		
PF00312	Ribosomal protein S15	pfam	domain	IPR000589		
PF00313	'Cold-shock' DNA-binding domain	pfam	domain	IPR002059		
PF00314	Thaumatin family	pfam	domain	IPR001938		
PF00316	Fructose-1-6-bisphosphatase, N-terminal domain	pfam	domain	IPR033391		
PF00317	Ribonucleotide reductase, all-alpha domain	pfam	domain	IPR013509		
PF00318	Ribosomal protein S2	pfam	family	IPR001865		
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	pfam	domain	IPR002100		
PF00320	GATA zinc finger	pfam	domain	IPR000679		
PF00321	Plant thionin	pfam	domain	IPR001010		
PF00322	Endothelin family	pfam	family	IPR001928		
PF00323	Mammalian defensin	pfam	domain	IPR006081		
PF00324	Amino acid permease	pfam	domain	IPR004841		
PF00325	Bacterial regulatory proteins, crp family	pfam	domain	IPR012318		
PF00326	Prolyl oligopeptidase family	pfam	domain	IPR001375		
PF00327	Ribosomal protein L30p/L7e	pfam	domain	IPR016082		
PF00328	Histidine phosphatase superfamily (branch 2)	pfam	family	IPR000560		
PF00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	pfam	family	IPR001268		
PF00330	Aconitase family (aconitate hydratase)	pfam	family	IPR001030		
PF00331	Glycosyl hydrolase family 10	pfam	domain	IPR001000		
PF00332	Glycosyl hydrolases family 17	pfam	domain	IPR000490		
PF00333	Ribosomal protein S5, N-terminal domain	pfam	domain	IPR013810		
PF00334	Nucleoside diphosphate kinase	pfam	domain	IPR034907		
PF00335	Tetraspanin family	pfam	family	IPR018499		
PF00336	DNA polymerase (viral) C-terminal domain	pfam	family	IPR001462		
PF00337	Galactoside-binding lectin	pfam	domain	IPR001079		
PF00338	Ribosomal protein S10p/S20e	pfam	domain	IPR027486		
PF00339	Arrestin (or S-antigen), N-terminal domain	pfam	domain	IPR011021		
PF00340	Interleukin-1 / 18	pfam	domain	IPR000975		
PF00341	PDGF/VEGF domain	pfam	domain	IPR000072		
PF00342	Phosphoglucose isomerase	pfam	domain	IPR001672		
PF00343	Carbohydrate phosphorylase	pfam	family	IPR000811		
PF00344	SecY	pfam	family	IPR002208		
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	pfam	domain	IPR016147		
PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	pfam	family	IPR001135		
PF00347	Ribosomal protein L6	pfam	domain	IPR020040		
PF00348	Polyprenyl synthetase	pfam	domain	IPR000092		
PF00349	Hexokinase	pfam	domain	IPR022672		
PF00350	Dynamin family	pfam	domain	IPR045063		
PF00351	Biopterin-dependent aromatic amino acid hydroxylase	pfam	domain	IPR019774		
PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	pfam	domain	IPR000814		
PF00353	RTX calcium-binding nonapeptide repeat (4 copies)	pfam	repeat	IPR001343		
PF00354	Pentaxin family	pfam	domain	IPR001759		
PF00355	Rieske [2Fe-2S] domain	pfam	domain	IPR017941		
PF00356	Bacterial regulatory proteins, lacI family	pfam	domain	IPR000843		
PF00357	Integrin alpha cytoplasmic region	pfam	family	IPR018184		
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	pfam	domain	IPR001127		
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	pfam	domain	IPR002178		
PF00360	Phytochrome region	pfam	domain	IPR013515		
PF00361	Proton-conducting membrane transporter	pfam	family	IPR001750		
PF00362	Integrin beta chain VWA domain	pfam	domain	IPR002369		
PF00363	Casein	pfam	family	IPR001588		
PF00364	Biotin-requiring enzyme	pfam	domain	IPR000089		
PF00365	Phosphofructokinase	pfam	domain	IPR000023		
PF00366	Ribosomal protein S17	pfam	domain	IPR000266		
PF00367	phosphotransferase system, EIIB	pfam	domain	IPR018113		
PF00368	Hydroxymethylglutaryl-coenzyme A reductase	pfam	family	IPR002202		
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	pfam	domain	IPR018484		
PF00372	Hemocyanin, copper containing domain	pfam	domain	IPR000896		
PF00373	FERM central domain	pfam	domain	IPR019748		
PF00374	Nickel-dependent hydrogenase	pfam	family	IPR001501		
PF00375	Sodium:dicarboxylate symporter family	pfam	family	IPR001991		
PF00376	MerR family regulatory protein	pfam	family	IPR000551		
PF00377	Prion/Doppel alpha-helical domain	pfam	domain	IPR022416		
PF00378	Enoyl-CoA hydratase/isomerase	pfam	domain	IPR001753		
PF00379	Insect cuticle protein	pfam	family	IPR000618		
PF00380	Ribosomal protein S9/S16	pfam	family	IPR000754		
PF00381	PTS HPr component phosphorylation site	pfam	domain	IPR000032		
PF00382	Transcription factor TFIIB repeat	pfam	domain	IPR013150		
PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region	pfam	domain	IPR002125		
PF00384	Molybdopterin oxidoreductase	pfam	family	IPR006656		
PF00385	Chromo (CHRromatin Organisation MOdifier) domain	pfam	domain	IPR023780		
PF00386	C1q domain	pfam	domain	IPR001073		
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain	pfam	family	IPR001711		
PF00388	Phosphatidylinositol-specific phospholipase C, X domain	pfam	family	IPR000909		
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	pfam	domain	IPR006139		
PF00390	Malic enzyme, N-terminal domain	pfam	domain	IPR012301		
PF00391	PEP-utilising enzyme, mobile domain	pfam	domain	IPR008279		
PF00392	Bacterial regulatory proteins, gntR family	pfam	domain	IPR000524		
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	pfam	domain	IPR006114		
PF00394	Multicopper oxidase	pfam	domain	IPR001117		
PF00395	S-layer homology domain	pfam	repeat	IPR001119		
PF00396	Granulin	pfam	family	IPR000118		
PF00397	WW domain	pfam	domain	IPR001202		
PF00398	Ribosomal RNA adenine dimethylase	pfam	domain	IPR001737		
PF00399	Yeast PIR protein repeat	pfam	repeat	IPR000420		
PF00400	WD domain, G-beta repeat	pfam	repeat	IPR001680		
PF00401	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	pfam	domain	IPR020547		
PF00402	Calponin family repeat	pfam	repeat	IPR000557		
PF00403	Heavy-metal-associated domain	pfam	domain	IPR006121		
PF00404	Dockerin type I domain	pfam	domain	IPR002105		
PF00405	Transferrin	pfam	domain	IPR001156		
PF00406	Adenylate kinase	pfam	domain			
PF00407	Pathogenesis-related protein Bet v 1 family	pfam	domain	IPR000916		
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	pfam	repeat	IPR005843		
PF00410	Ribosomal protein S8	pfam	domain	IPR000630		
PF00411	Ribosomal protein S11	pfam	family	IPR001971		
PF00412	LIM domain	pfam	domain	IPR001781		
PF00413	Matrixin	pfam	domain	IPR001818		
PF00414	Neuraxin and MAP1B repeat	pfam	repeat	IPR000102		
PF00415	Regulator of chromosome condensation (RCC1) repeat	pfam	repeat	IPR000408		
PF00416	Ribosomal protein S13/S18	pfam	family	IPR001892		
PF00418	Tau and MAP protein, tubulin-binding repeat	pfam	family	IPR001084		
PF00419	Fimbrial protein	pfam	domain	IPR000259		
PF00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	pfam	family	IPR039428		
PF00421	Photosystem II protein	pfam	family	IPR000932		
PF00423	Haemagglutinin-neuraminidase	pfam	repeat	IPR000665		
PF00424	REV protein (anti-repression trans-activator protein)	pfam	family	IPR000625		
PF00425	chorismate binding enzyme	pfam	family	IPR015890		
